Counter 0;Random String 0;Counter 1;Random String 0;Random Word 0;Word Cycle 0;
000001;bzbnbhuxnsul;00099;00111100;Merkur;Januar;
000002;mezubefnrlma;00096;01111001;Uranus;Februar;
000003;gxtqnpnoiqnv;00093;10100001;Saturn;März;
000004;dskzwnpnumvb;00090;10100110;Pluto;Aril;
000005;pmnjskkwwsnj;00087;11001001;Erde;Mai;
000006;akoyootzvpwj;00084;01111110;Jupiter;Juni;
000007;ufxdasrbcgfk;00081;00000100;Saturn;Juli;
000008;gldbdtfbgmjd;00078;00111010;Erde;August;
000009;kkpvtkpvkdtj;00075;11111011;Uranus;September;
000010;epxjfyuwgjcr;00072;00000110;Uranus;Oktober;
000011;uhzagyacnsdn;00069;01011011;Mars;November;
000012;nezoapzkosac;00066;10000100;Mars;Dezember;
000013;iabwuctkbkbd;00063;11000101;Neptun;Januar;
000014;swubcqdbyhtc;00060;10110000;Neptun;Februar;
000015;uzeydcpqjwnu;00057;00010000;Jupiter;März;
